|357169|20-DEC-2020|8225.54|18.00|4308.50|0.00|387.77|387.77|0.00|Haryana
|357172|20-DEC-2020|4620.00|12.00|4125.00|0.00|247.50|247.50|0.00|
07AABCZ2260K1Z7|357173|20-DEC-2020|9027.00|18.00|7650.00|0.00|688.50|688.50|0.00|
|357175|20-DEC-2020|15783.30|12.00|11000.00|0.00|660.00|660.00|0.00|
|357177|20-DEC-2020|7960.00|18.00|2000.00|0.00|180.00|180.00|0.00|Punjab
|357177|20-DEC-2020|7960.00|12.00|5000.00|0.00|300.00|300.00|0.00|Punjab
|357178|20-DEC-2020|8253.16|12.00|7368.90|0.00|442.13|442.13|0.00|
06AADCM5146R1ZZ|357179|20-DEC-2020|6160.00|12.00|5500.00|0.00|330.00|330.00|0.00|Haryana
06AADCM5146R1ZZ|357180|20-DEC-2020|6160.00|12.00|5500.00|0.00|330.00|330.00|0.00|Haryana
06AADCM5146R1ZZ|357181|20-DEC-2020|6160.00|12.00|5500.00|0.00|330.00|330.00|0.00|Haryana
06AADCM5146R1ZZ|357182|20-DEC-2020|6776.00|12.00|6050.00|0.00|363.00|363.00|0.00|Haryana
|357183|20-DEC-2020|2870.03|12.00|2562.53|0.00|153.75|153.75|0.00|
|357184|20-DEC-2020|8968.00|18.00|7600.00|0.00|684.00|684.00|0.00|Haryana
|357185|20-DEC-2020|15154.44|12.00|9435.00|0.00|566.10|566.10|0.00|Haryana
|357185|20-DEC-2020|15154.44|18.00|-1087.50|0.00|-97.88|-97.88|0.00|Haryana
06AABCI5252Q1Z8|357186|20-DEC-2020|44515.11|18.00|31445.00|0.00|2830.05|2830.05|0.00|Haryana
|357187|20-DEC-2020|11682.00|18.00|9900.00|0.00|891.00|891.00|0.00|
|357190|20-DEC-2020|5852.00|12.00|5225.00|0.00|313.50|313.50|0.00|
|357191|20-DEC-2020|14949.50|18.00|550.00|0.00|49.50|49.50|0.00|
|357191|20-DEC-2020|14949.50|12.00|7000.00|0.00|420.00|420.00|0.00|
|357193|20-DEC-2020|28089.60|12.00|25080.00|0.00|1504.80|1504.80|0.00|
